model,release,n_runs,n_judged,zero_tool_pct,search_only_pct,memory_share_pct,memory_share_ci_low,memory_share_ci_high,web_share_pct,first_party_share_pct,tool_calls_per_run,evidence_chars_per_run
gpt-4.1-2025-04-14,2025-04,90,90,34.4,34.4,51.5,47.1,56.3,48.5,35.0,1.24,3378
gpt-5-2025-08-07,2025-08,90,90,32.2,2.2,40.8,34.5,47.0,59.2,70.5,4.49,13760
gpt-5.1-2025-11-13,2025-11,90,90,28.9,6.7,44.1,39.6,48.9,55.9,61.3,3.06,9216
gpt-5.2-2025-12-11,2025-12,90,90,21.1,5.6,25.6,20.6,30.2,74.4,81.3,7.14,20293
gpt-5.4-2026-03-05,2026-03,90,90,15.6,3.3,20.1,14.6,25.6,79.9,78.9,8.42,22044
gpt-5.5-2026-04-23,2026-04,90,90,23.3,11.1,33.5,27.7,39.0,66.5,66.5,4.86,12446
gpt-5.6-sol,2026,90,90,1.1,15.6,13.9,9.6,18.4,86.1,66.0,9.4,20305
