domain,brand,group,industry,fine_vertical,ax_ratio,discovery,tranco_rank,training_presence,citation_breadth,in_matched_core,has_ground_truth
pandadoc.com,PandaDoc,ax-low,Sales & Marketing,martech-sales,0.3077,0.8421,14452,0.75,0.475,0,0
payoneer.com,Payoneer,ax-high,Fintech & Payments,payments-fintech,0.67,0.688,15144,0.75,0.525,1,1
pleo.io,Pleo,ax-high,Fintech & Payments,payments-fintech,0.6825,0.1667,26398,0.75,0.35,0,0
razorpay.com,Razorpay,ax-high,Fintech & Payments,payments-fintech,0.88,0.706,3627,0.75,0.55,1,1
replicate.com,Replicate,ax-high,Artificial Intelligence,ai,0.72,0.47058823529411764,29605,0.75,0.975,1,1
resend.com,Resend,ax-high,Customer Service,comms-support,0.86,1.0,19111,0.75,0.775,1,1
revolut.com,Revolut,ax-low,Fintech & Payments,payments-fintech,0.05,0.688,5443,0.75,0.4,1,1
robinhood.com,Robinhood,ax-low,Fintech & Payments,payments-fintech,0.43,0.562,3034,1.0,0.4,1,1
salesloft.com,Salesloft,ax-low,Sales & Marketing,martech-sales,0.46,0.6470588235294118,11810,0.75,0.275,1,1
seranking.com,SE Ranking,ax-low,Analytics,data-analytics,0.46,0.667,20689,0.875,0.7,1,1
shapr3d.com,Shapr3D,ax-high,Consumer,consumer-sub,0.7442,0.5714,53978,0.75,0.3,0,0
sider.ai,Sider,ax-low,Artificial Intelligence,ai,0.0851,0.2353,17490,0.3,0.925,0,0
similarweb.com,Similarweb,ax-high,Analytics,data-analytics,0.7,0.5882352941176471,4192,0.75,0.675,1,1
sitespeak.ai,SiteSpeak,ax-high,Artificial Intelligence,ai,0.8226,0.5,364561,0.0,0.7,0,0
snowflake.com,Snowflake,ax-low,Analytics,data-analytics,0.46,0.75,2491,0.75,0.375,1,1
sofi.com,SoFi,ax-low,Fintech & Payments,payments-fintech,0.27,0.36363636363636365,7087,0.75,0.4,1,1
solana.com,Solana,ax-high,Fintech & Payments,payments-fintech,0.6667,0.45,14881,0.75,0.325,0,0
solanatracker.io,SolanaTracker,ax-high,Analytics,data-analytics,0.7692,0.2353,182063,0.0,0.15,0,0
spark.re,Spark,ax-low,Sales & Marketing,martech-sales,0.3051,0.1765,618864,0.0,0.35,0,0
studyfetch.com,StudyFetch,ax-low,Artificial Intelligence,ai,0.1,0.3529,198237,0.0,0.7,0,1
surveymonkey.com,SurveyMonkey,ax-high,Collaboration & Productivity,productivity,0.66,0.6470588235294118,597,0.75,0.275,1,1
telnyx.com,Telnyx,ax-high,Customer Service,comms-support,0.97,1.0,29105,0.75,0.55,1,1
tremendous.com,Tremendous,ax-high,Fintech & Payments,payments-fintech,0.6774,0.3158,62629,0.45,0.325,0,0
twentythree.com,TwentyThree,ax-high,Sales & Marketing,martech-sales,0.6885,0.1667,133348,0.15,0.25,0,0
twilio.com,Twilio,ax-high,Customer Service,comms-support,0.68,0.875,1791,1.0,0.625,1,1
undermind.ai,UnderMind,ax-low,Artificial Intelligence,ai,0.44,0.5,547168,0.0,0.825,0,0
vanta.com,Vanta,ax-high,Security,security-identity,0.7097,0.5294,18106,0.75,0.575,0,0
vultr.com,Vultr,ax-low,IT Infrastructure,infra-cloud,0.39,0.625,6046,0.75,0.4,1,1
whereby.com,Whereby,ax-low,Customer Service,comms-support,0.4746,0.4,38570,0.75,0.025,0,0
wizehire.com,Wizehire,ax-high,HR & Legal,hr-legal-ops,0.7458,0.3333,258305,0.0,0.05,0,0
x.ai,xAI,ax-low,Artificial Intelligence,ai,0.46,0.167,4682,1.0,0.95,1,1
xbow.com,XBOW,ax-high,Security,security-identity,0.75,0.2353,260495,0.15,0.425,0,0
zoominfo.com,ZoomInfo,ax-low,Sales & Marketing,martech-sales,0.32,0.8235294117647058,4193,0.75,0.35,1,1
